book_id,title,author,genres
1384,The Art of Happiness,"Dalai Lama XIV, Howard C. Cutler","psychology, non-fiction, spirituality, philosophy, self-help"
1385,The Bone Clocks,David Mitchell,"fiction, fantasy, science-fiction, sci-fi, book-club"
1386,Black and Blue,Anna Quindlen,fiction
1387,"Origins (The Vampire Diaries: Stefan's Diaries, #1)","L.J. Smith, Kevin Williamson, Julie Plec","vampires, young-adult, fantasy, vampire, vampire-diaries"
1388,The Last Juror,John Grisham,"fiction, john-grisham, mystery, thriller, grisham"
1389,Diary,Chuck Palahniuk,"fiction, horror, chuck-palahniuk, contemporary"
1390,"Eleven on Top (Stephanie Plum, #11)",Janet Evanovich,"mystery, janet-evanovich, fiction, humor, series"
1391,"Inkspell (Inkworld, #2)","Cornelia Funke, Anthea Bell","series, ya, fantasy, adventure, childrens"
1392,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,"non-fiction, nonfiction, essays, humor, pop-culture"
1393,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,Evelyn Waugh,"classics, fiction, historical-fiction, classic, literature"
1394,"White Night (The Dresden Files, #9)",Jim Butcher,"fantasy, urban-fantasy, mystery, fiction, dresden-files"
1395,The Miniaturist,Jessie Burton,"historical-fiction, fiction, historical, mystery, book-club"
1396,"Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)","Margaret Weis, Tracy Hickman","fantasy, dragonlance, fiction, dragons, high-fantasy"
1397,"The Lost Colony (Artemis Fowl, #5)",Eoin Colfer,"ya, series, sci-fi, fantasy, eoin-colfer"
1398,"Extras (Uglies, #4)",Scott Westerfeld,"young-adult, dystopian, dystopia, ya, science-fiction"
1399,"The Burning Bridge (Ranger's Apprentice, #2)",John Flanagan,"fantasy, young-adult, adventure, fiction, ya"
1400,"The Book of Life (All Souls Trilogy, #3)",Deborah Harkness,"fantasy, fiction, paranormal, romance, vampires"
1401,The Artist's Way: A Spiritual Path to Higher Creativity,Julia Cameron,"non-fiction, art, self-help, writing, nonfiction"
1402,The Stinky Cheese Man and Other Fairly Stupid Tales,"Jon Scieszka, Lane Smith","picture-books, childrens, children-s-books, children-s, children"
1403,Horns,Joe Hill,"horror, fiction, fantasy, mystery, thriller"
1404,Catherine the Great: Portrait of a Woman,Robert K. Massie,"history, biography, non-fiction, nonfiction, russia"
1405,"The Year of the Flood  (MaddAddam, #2)",Margaret Atwood,"fiction, science-fiction, dystopia, sci-fi, dystopian"
1406,Winter Garden,Kristin Hannah,"fiction, book-club, kristin-hannah, chick-lit, historical-fiction"
1407,The King of Torts,John Grisham,"fiction, john-grisham, mystery, thriller, grisham"
1408,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,"Marcus Luttrell, Patrick Robinson","military, non-fiction, war, history, biography"
1409,The 3 Mistakes of My Life,Chetan Bhagat,"fiction, indian-authors"
1410,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"mystery, agatha-christie, fiction, crime, classics"
1411,Native Son,Richard Wright,"fiction, classics, african-american, literature, historical-fiction"
1412,"Shadow's Edge (Night Angel, #2)",Brent Weeks,"fantasy, fiction, epic-fantasy, assassins, magic"
1413,"Under the Never Sky (Under the Never Sky, #1)",Veronica Rossi,"young-adult, dystopian, dystopia, ya, romance"
1414,"True Believer (Jeremy Marsh & Lexie Darnell, #1)",Nicholas Sparks,"romance, fiction, chick-lit, contemporary"
1415,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,"business, non-fiction, entrepreneurship, startup, management"
1416,"The Golden Lily (Bloodlines, #2)",Richelle Mead,"young-adult, vampires, fantasy, paranormal, ya"
1417,Chasing Harry Winston,Lauren Weisberger,"chick-lit, fiction, romance, chicklit"
1418,"Magician's Gambit (The Belgariad, #3)",David Eddings,"fantasy, fiction, david-eddings, epic-fantasy, sci-fi-fantasy"
1419,The Stand: Captain Trips,"Roberto Aguirre-Sacasa, Stephen King, Mike Perkins, Laura       Martin",graphic-novel
1420,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,"history, non-fiction, nonfiction, wwii, war"
1421,A Long Way Down,Nick Hornby,"fiction, contemporary, humor, book-club, british"
1422,"Out from Boneville (Bone, #1)","Jeff Smith, Steve Hamaker","graphic-novels, graphic-novel, fantasy, cómics, comics"
1423,Rose Madder,Stephen King,"horror, stephen-king, fiction, thriller, king"
1424,"Die Trying (Jack Reacher, #2)",Lee Child,"fiction, lee-child, jack-reacher, thriller, crime"
1425,"Beautiful Chaos (Caster Chronicles, #3)","Kami Garcia, Margaret Stohl, Paz Pruneda","young-adult, fantasy, ya, paranormal, series"
1426,Keeping Faith,Jodi Picoult,"fiction, jodi-picoult, chick-lit, contemporary"
1427,Heart-Shaped Box,Joe Hill,"horror, fiction, thriller, paranormal, ghosts"
1428,"Cabin Fever (Diary of a Wimpy Kid, #6)",Jeff Kinney,"fiction, realistic-fiction, childrens, diary-of-a-wimpy-kid, funny"
1429,"Beyond the Shadows (Night Angel, #3)",Brent Weeks,"fantasy, fiction, epic-fantasy, brent-weeks, magic"
1430,Everyone Worth Knowing,Lauren Weisberger,"chick-lit, fiction, chicklit, romance"
1431,"Redwall (Redwall, #1)",Brian Jacques,"fantasy, young-adult, fiction, childrens, ya"
1432,The Communist Manifesto,"Karl Marx, Friedrich Engels, Gareth Stedman Jones","philosophy, non-fiction, politics, classics, history"
1433,The Woman in Cabin 10,Ruth Ware,"mystery, fiction, thriller, book-club, suspense"
1434,The Last of the Mohicans (The Leatherstocking Tales #2),James Fenimore Cooper,"classics, fiction, historical-fiction, classic, adventure"
1435,Sophie's Choice,William Styron,"fiction, classics, historical-fiction, holocaust, war"
1436,"Shopaholic and Sister (Shopaholic, #4)",Sophie Kinsella,"fiction, chicklit, chick-lit, humor, chic-lit"
1437,The Iron Daughter,Julie Kagawa,"fantasy, young-adult, ya, romance, paranormal"
1438,The Prayer of Jabez:  Breaking Through to the Blessed Life,Bruce H. Wilkinson,"christian, non-fiction"
1439,The Age of Miracles,Karen Thompson Walker,"fiction, young-adult, science-fiction, book-club, sci-fi"
1440,Have a Little Faith: a True Story,Mitch Albom,"non-fiction, mitch-albom, inspirational, nonfiction, fiction"
1441,My Life in France,"Julia Child, Alex Prud'Homme","memoir, non-fiction, food, nonfiction, biography"
1442,"The Rosie Effect (Don Tillman, #2)",Graeme Simsion,"contemporary, fiction, read-in-2015, series, chick-lit"
1443,The Secret of the Nagas (Shiva Trilogy #2),Amish Tripathi,"fiction, fantasy, mythology, indian-authors"
1444,Ham on Rye,Charles Bukowski,"fiction, classics, literature"
1445,Flipped,Wendelin Van Draanen,"young-adult, romance, ya, realistic-fiction, fiction"
1446,Emotional Intelligence 2.0,"Travis Bradberry, Jean Greaves, Patrick Lencioni","psychology, non-fiction, business, self-help, leadership"
1447,Make Way for Ducklings,Robert McCloskey,"picture-books, childrens, children-s-books, children, children-s"
1448,"Relic (Pendergast, #1)","Douglas Preston, Lincoln Child","horror, thriller, mystery, fiction, science-fiction"
1449,Notes from a Small Island,Bill Bryson,"travel, non-fiction, nonfiction, humor, memoir"
1450,"Small Favor (The Dresden Files, #10)",Jim Butcher,"urban-fantasy, fantasy, fiction, dresden-files, mystery"
1451,"The Walking Dead, Compendium 1",Robert Kirkman,"comics, graphic-novel, zombies, fiction, post-apocalyptic"
1452,"Princess Academy (Princess Academy, #1)",Shannon Hale,"fantasy, young-adult, ya, fiction, middle-grade"
1453,"Everything, Everything","Nicola Yoon, David Yoon","young-adult, contemporary, ya, romance, fiction"
1454,Pygmalion,George Bernard Shaw,"classics, plays, fiction, drama, classic"
1455,Flight Behavior,Barbara Kingsolver,"fiction, book-club, contemporary-fiction, literary-fiction, environment"
1456,"Grip of the Shadow Plague (Fablehaven, #3)",Brandon Mull,"fantasy, young-adult, fiction, fablehaven, series"
1457,"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",Helen Fielding,"chick-lit, fiction, romance, humor, contemporary"
1458,Corelli's Mandolin,Louis de Bernières,"war, greece"
1459,"At First Sight (Jeremy Marsh & Lexie Darnell, #2)",Nicholas Sparks,"nicholas-sparks, romance, fiction, chick-lit"
1460,In a Sunburned Country,Bill Bryson,"travel, non-fiction, nonfiction, humor, australia"
1461,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,"mystery, classics"
1462,The Orphan Master's Son,Adam Johnson,"fiction, book-club, historical-fiction, pulitzer, north-korea"
1463,"Enchanters' End Game (The Belgariad, #5)",David Eddings,"fantasy, fiction, david-eddings, epic-fantasy, sci-fi-fantasy"
1464,The Complete Persepolis,"Marjane Satrapi, Mattias Ripa, Blake Ferris, Anjali Singh","graphic-novels, graphic-novel, comics, non-fiction, memoir"
1465,The Chosen,Chaim Potok,"fiction, classics, historical-fiction, young-adult, jewish"
1466,The Agony and the Ecstasy,"Irving Stone, שמואל שניצר","historical-fiction, fiction, art, biography, classics"
1467,"The Angel's Game (The Cemetery of Forgotten Books, #2)","Carlos Ruiz Zafón, Lucia Graves","fiction, mystery, historical-fiction, fantasy, spain"
1468,"Love, Rosie",Cecelia Ahern,"romance, contemporary, chick-lit, adult, favourites"
1469,Amelia Bedelia  (Amelia Bedelia #1),"Peggy Parish, Fritz Siebel","childrens, children-s-books, children, children-s, picture-books"
1470,"This Man (This Man, #1)",Jodi Ellen Malpas,"romance, erotica, series, contemporary-romance, contemporary"
1471,"A Dog's Purpose (A Dog's Purpose, #1)",W. Bruce Cameron,"fiction, animals, dogs, book-club, contemporary"
1472,"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,"fantasy, young-adult, ya, romance, dystopian"
1473,"Lover Enshrined (Black Dagger Brotherhood, #6)",J.R. Ward,"paranormal-romance, paranormal, vampires, romance, vampire"
1474,"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker,"fantasy, historical-fiction, fiction, historical, book-club"
1475,الأسود يليق بك,"أحلام مستغانمي, Ahlam Mosteghanemi","روايات, novels, arabic, الاسود-يليق-بك"
1476,"The Slippery Slope (A Series of Unfortunate Events, #10)","Lemony Snicket, Brett Helquist","fiction, young-adult, childrens, series, fantasy"
1477,Bleak House,"Charles Dickens, Nicola Bradbury, Hablot Knight Browne","classics, fiction, classic, literature, 19th-century"
1478,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",Esphyr Slobodkina,"picture-books, children-s-books, childrens, children, children-s"
1479,"Furies of Calderon (Codex Alera, #1)",Jim Butcher,"fantasy, fiction, epic-fantasy, series, high-fantasy"
1480,"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,"fantasy, young-adult, ya, fiction, series"
1481,Her Fearful Symmetry,Audrey Niffenegger,"fiction, fantasy, book-club, paranormal, mystery"
1482,The Boston Girl,Anita Diamant,"historical-fiction, fiction, book-club, historical, audio"
1483,"Lover Avenged (Black Dagger Brotherhood, #7)",J.R. Ward,"paranormal-romance, paranormal, vampires, romance, vampire"
1484,"The Fall of Hyperion (Hyperion Cantos, #2)",Dan Simmons,"science-fiction, sci-fi, fiction, scifi, fantasy"
1485,"The Black Dahlia (L.A. Quartet, #1)",James Ellroy,"mystery, crime, fiction, noir, historical-fiction"
1486,"Through the Looking-Glass, and What Alice Found There","Lewis Carroll, John Tenniel, Peter Glassman",
1487,Wild Swans: Three Daughters of China,Jung Chang,"biography, non-fiction, nonfiction, history, china"
1488,"Go, Dog. Go!",P.D. Eastman,"childrens, picture-books, children, children-s, childrens-books"
1489,"On the Banks of Plum Creek  (Little House, #4)","Laura Ingalls Wilder, Garth Williams","historical-fiction, childrens, fiction, children, children-s"
1490,"Finders Keepers (Bill Hodges Trilogy, #2)",Stephen King,"stephen-king, fiction, horror, mystery, crime"
1491,"The Strain (The Strain Trilogy, #1)","Guillermo del Toro, Chuck Hogan","sci-fi, horror, supernatural"
1492,The Complete Poems of Emily Dickinson,"Emily Dickinson, Thomas H. Johnson","classics, poetry"
1493,"Old Yeller (Old Yeller, #1)",Fred Gipson,"classics, fiction, young-adult, childrens, animals"
1494,Born Standing Up: A Comic's Life,Steve Martin,"biography, autobiography, non-fiction, biographies, audiobooks"
1495,PostSecret: Extraordinary Confessions from Ordinary Lives (PostSecret),Frank Warren,"nonfiction, art"
1496,"A Storm of Swords: Blood and Gold (A Song of Ice and Fire, #3: Part 2 of 2)",George R.R. Martin,"fantasy, fiction, favourites, series, epic-fantasy"
1497,"The Borrowers (The Borrowers, #1)","Mary Norton, Beth Krush, Joe Krush","fantasy, childrens, children, classics, fiction"
1498,Hearts in Atlantis,Stephen King,"horror, fiction, stephen-king, fantasy, king"
1499,Small Great Things,Jodi Picoult,"fiction, book-club, contemporary, read-in-2017, adult-fiction"
1500,"A Wild Sheep Chase (The Rat, #3)","Haruki Murakami, Alfred Birnbaum","fantasy, contemporary, novels"
1501,"The Queen's Fool (The Plantagenet and Tudor Novels, #12)",Philippa Gregory,"historical-fiction, fiction, historical, philippa-gregory, romance"
1502,"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",Laini Taylor,"fantasy, young-adult, ya, romance, paranormal"
1503,Jitterbug Perfume,Tom Robbins,"fiction, humor, book-club"
1504,"The Battle for Skandia (Ranger's Apprentice, #4)",John Flanagan,"young-adult, adventure, fiction, fantasy, rangers-apprentice"
1505,"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,"dystopian, young-adult, dystopia, ya, fantasy"
1506,The Zahir,"Paulo Coelho, Margaret Jull Costa","fiction, philosophy, novels"
1507,The Power of Positive Thinking,Norman Vincent Peale,"self-help, non-fiction, psychology, self-improvement, personal-development"
1508,"In a Dark, Dark Wood",Ruth Ware,"mystery, fiction, thriller, book-club, suspense"
1509,The House of Mirth,"Edith Wharton, Nina Bawden","classics, literature, historical-fiction, fiction, 1001-books"
1510,"Fairy Tail, Vol. 1 (Fairy Tail, #1)","Hiro Mashima, William Flanagan","manga, fantasy, fairy-tail, mangas"
1511,The Slow Regard of Silent Things (The Kingkiller Chronicle #2.5),"Patrick Rothfuss, Nate  Taylor","fantasy, fiction, series, short-stories, novella"
1512,Twelve Years a Slave,Solomon Northup,"non-fiction, history, biography, classics, memoir"
1513,"Lover Mine (Black Dagger Brotherhood, #8)",J.R. Ward,"paranormal-romance, vampires, romance, vampire, black-dagger-brotherhood"
1514,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,"non-fiction, history, nonfiction, adventure, survival"
1515,Infidel,Ayaan Hirsi Ali,"non-fiction, memoir, biography, nonfiction, religion"
1516,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"non-fiction, economics, business, philosophy, science"
1517,"The Twelve (The Passage, #2)",Justin Cronin,"horror, fiction, science-fiction, fantasy, post-apocalyptic"
1518,One Day in the Life of Ivan Denisovich,"Aleksandr Solzhenitsyn, H.T. Willetts","fiction, classics, russian, russia, historical-fiction"
1519,"The Diamond Age: or, A Young Lady's Illustrated Primer",Neal Stephenson,"science-fiction, sci-fi, fiction, cyberpunk, scifi"
1520,A Canticle for Leibowitz,Walter M. Miller Jr.,"science-fiction, sci-fi, fiction, post-apocalyptic, scifi"
1521,"Antigone (The Theban Plays, #3)","Sophocles, J.E. Thomas","classics, plays, drama, school, fiction"
1522,Brooklyn,Colm Tóibín,"fiction, historical-fiction, book-club, ireland, historical"
1523,"Wither (The Chemical Garden, #1)",Lauren DeStefano,"young-adult, dystopian, dystopia, ya, romance"
1524,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"non-fiction, memoir, nonfiction, book-club, biography"
1525,"Crossroads of Twilight (Wheel of Time, #10)",Robert Jordan,"fantasy, wheel-of-time, fiction, epic-fantasy, robert-jordan"
1526,The Red Badge of Courage,Stephen Crane,"classics, fiction, historical-fiction, war, literature"
1527,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"non-fiction, science, nonfiction, humor, audiobooks"
1528,"Gardens of the Moon (The Malazan Book of the Fallen, #1)",Steven Erikson,"fantasy, fiction, epic-fantasy, high-fantasy, malazan"
1529,The Witch Of Portobello,Paulo Coelho,"fiction, paulo-coelho, novels, philosophy, spirituality"
1530,"A Swiftly Tilting Planet (A Wrinkle in Time Quintet, #3)",Madeleine L'Engle,"fantasy, young-adult, fiction, ya, sci-fi-fantasy"
1531,"Gregor the Overlander (Underland Chronicles, #1)",Suzanne Collins,"fantasy, fiction, series, adventure, childrens"
1532,Sing You Home,Jodi Picoult,"fiction, jodi-picoult, lgbt, chick-lit, book-club"
1533,"The Tale of the Body Thief (The Vampire Chronicles, #4)",Anne Rice,"vampires, fantasy, fiction, anne-rice, vampire"
1534,"The Camel Club (Camel Club, #1)",David Baldacci,"fiction, thriller, mystery, david-baldacci, baldacci"
1535,"Saving the World and Other Extreme Sports (Maximum Ride, #3)",James Patterson,"young-adult, fantasy, sci-fi, science-fiction, maximum-ride"
1536,"Blood of the Fold (Sword of Truth, #3)",Terry Goodkind,"fantasy, fiction, sword-of-truth, epic-fantasy, terry-goodkind"
1537,"The Boleyn Inheritance (The Plantagenet and Tudor Novels, #10)",Philippa Gregory,"history, england, tudor, historical-fiction"
1538,A Spool of Blue Thread,Anne Tyler,"fiction, book-club, audio, contemporary, literary-fiction"
1539,The Underground Railroad,Colson Whitehead,"historical-fiction, fiction, book-club, historical, read-in-2017"
1540,"Masquerade (Blue Bloods, #2)",Melissa de la Cruz,"vampires, young-adult, fantasy, ya, paranormal"
1541,"The Iron Queen (The Iron Fey, #3)",Julie Kagawa,"fantasy, young-adult, ya, romance, paranormal"
1542,"Losing It (Losing It, #1)",Cora Carmack,"contemporary, contemporary-romance, college, series, chick-lit"
1543,The Racketeer,John Grisham,"fiction, john-grisham, mystery, thriller, grisham"
1544,Disgrace,J.M. Coetzee,"fiction, africa, south-africa, literature, novels"
1545,"The House at Pooh Corner (Winnie-the-Pooh, #2)","A.A. Milne, Ernest H. Shepard","childrens, children, fiction, classics, kids"
1546,"The Black Prism (Lightbringer, #1)",Brent Weeks,"fantasy, epic-fantasy, fiction, series, high-fantasy"
1547,The Mermaid Chair,Sue Monk Kidd,"fiction, book-club, chick-lit, romance, contemporary-fiction"
1548,"Frog and Toad Are Friends (Frog and Toad, #1)",Arnold Lobel,"children-s-books, children, children-s, picture-books, fiction"
1549,"The Carnivorous Carnival (A Series of Unfortunate Events, #9)","Lemony Snicket, Brett Helquist","fiction, young-adult, childrens, series, fantasy"
1550,"Heist Society (Heist Society, #1)",Ally Carter,"young-adult, ya, mystery, contemporary, series"
1551,Behind Closed Doors,B.A. Paris,"thriller, fiction, mystery, suspense, mystery-thriller"
1552,"The Killer Angels (The Civil War Trilogy, #2)",Michael Shaara,"historical-fiction, fiction, history, civil-war, war"
1553,"Circus of the Damned (Anita Blake, Vampire Hunter, #3)",Laurell K. Hamilton,"urban-fantasy, vampires, paranormal, fantasy, anita-blake"
1554,"Ptolemy's Gate (Bartimaeus, #3)",Jonathan Stroud,"young-adult, fantasy, ya, series, urban-fantasy"
1555,The Island of Dr. Moreau,H.G. Wells,"horror, classics, fiction, science-fiction, sci-fi"
1556,"Opal (Lux, #3)",Jennifer L. Armentrout,"young-adult, paranormal, romance, aliens, ya"
1557,Zeitoun,Dave Eggers,"non-fiction, nonfiction, book-club, biography, fiction"
1558,Out of My Mind,Sharon M. Draper,"realistic-fiction, young-adult, fiction, middle-grade, ya"
1559,"Rapture (Fallen, #4)",Lauren Kate,"young-adult, paranormal, fantasy, series, fallen"
1560,"Switched (Trylle, #1)",Amanda Hocking,"fantasy, young-adult, paranormal, romance, paranormal-romance"
1561,Doctor Zhivago,"Boris Pasternak, Max Hayward, Manya Harari, John Bayley","historical-fiction, russian, russian-literature, classic, russia"
1562,Confess,Colleen Hoover,"romance, new-adult, contemporary, read-in-2015, fiction"
1563,"Pines (Wayward Pines, #1)",Blake Crouch,"thriller, mystery, horror, fiction, science-fiction"
1564,Disclosure,Michael Crichton,"fiction, thriller, michael-crichton, mystery, suspense"
1565,Death Comes to Pemberley,P.D. James,"mystery, fiction, historical-fiction, crime, historical"
1566,Ethan Frome,Edith Wharton,"classics, fiction, classic, literature, school"
1567,A Map of the World,"Jane Hamilton, Frank  Muller, C.J. Critt",fiction
1568,It Ends with Us,Colleen Hoover,"romance, new-adult, contemporary, read-in-2016, fiction"
1569,The Gift of the Magi,"O. Henry, Lisbeth Zwerger","classics, short-stories, fiction, christmas"
1570,The Electric Kool-Aid Acid Test,Tom Wolfe,"non-fiction, fiction, nonfiction, history, rory-gilmore-reading-challenge"
1571,Naked Lunch,"William S. Burroughs, James Grauerholz, Barry  Miles","fiction, classics, literature, beat, novels"
1572,Dream Country (The Sandman #3),"Neil Gaiman, Kelley Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Erickson","graphic-novels, comics, fantasy, graphic-novel, fiction"
1573,A Painted House,John Grisham,"fiction, john-grisham, mystery, historical-fiction, grisham"
1574,The Left Hand of Darkness,"Ursula K. Le Guin, Lech Jęczmyk","science-fiction, sci-fi, fiction, sf, fantasy"
1575,Let It Snow: Three Holiday Romances,"John Green, Maureen Johnson, Lauren Myracle","romance, contemporary, christmas, short-stories, john-green"
1576,"Full Dark, No Stars",Stephen King,"horror, stephen-king, fiction, short-stories, thriller"
1577,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"non-fiction, nonfiction, medicine, science, health"
1578,Intensity,Dean Koontz,"horror, dean-koontz, thriller, fiction, suspense"
1579,Chelsea Chelsea Bang Bang,Chelsea Handler,"humor, non-fiction, memoir, comedy, nonfiction"
1580,A Doll's House,"Henrik Ibsen, Michael   Meyer","plays, drama, fiction, play, classic"
1581,Hawaii,James A. Michener,"historical-fiction, fiction, historical, hawaii, history"
1582,Revolutionary Road,Richard Yates,"fiction, classics, book-club, historical-fiction, favourites"
1583,Nick & Norah's Infinite Playlist,"Rachel Cohn, David Levithan","young-adult, ya, romance, contemporary, fiction"
1584,Rosencrantz and Guildenstern Are Dead,"Tom Stoppard, Henry Popkin","plays, drama, fiction, classics, play"
1585,"Forever (The Wolves of Mercy Falls, #3)",Maggie Stiefvater,"young-adult, fantasy, ya, paranormal, romance"
1586,The Beach,Alex Garland,"fiction, travel, adventure, thriller, contemporary"
1587,Saving CeeCee Honeycutt,"Beth Hoffman, Jenna Lamia",audio
1588,"Deadlocked (Sookie Stackhouse, #12)",Charlaine Harris,"fantasy, vampires, paranormal, urban-fantasy, vampire"
1589,Everything's Eventual: 14 Dark Tales,Stephen King,"horror, short-stories, fiction, king, fantasy"
1590,"Beezus and Ramona (Ramona, #1)",Beverly Cleary,"childrens, children, fiction, children-s-books, children-s"
1591,"The Farthest Shore (Earthsea Cycle, #3)",Ursula K. Le Guin,"fantasy, fiction, young-adult, ya, sci-fi-fantasy"
1592,Airframe,Michael Crichton,"fiction, thriller, mystery, michael-crichton, science-fiction"
1593,"Magician: Apprentice (The Riftwar Saga, #1)",Raymond E. Feist,"fantasy, epic-fantasy, high-fantasy, sci-fi-fantasy, magic"
1594,Bet Me,Jennifer Crusie,"romance, chick-lit, contemporary-romance, contemporary, fiction"
1595,Long Walk to Freedom,Nelson Mandela,"history, africa, nonfiction, non-fiction, politics"
1596,Gray Mountain,John Grisham,"fiction, john-grisham, mystery, thriller, grisham"
1597,"The Power of One (The Power of One, #1)",Bryce Courtenay,"fiction, historical-fiction, africa, book-club, classics"
1598,The Maltese Falcon,Dashiell Hammett,"mystery, fiction, classics, crime, noir"
1599,Night Road,Kristin Hannah,"fiction, chick-lit, book-club, romance, contemporary"
1600,"Tripwire  (Jack Reacher, #3)",Lee Child,"thriller, lee-child, fiction, mystery, jack-reacher"
1601,Emotional Intelligence: Why It Can Matter More Than IQ,Daniel Goleman,"self-help, business, nonfiction, non-fiction, science"
1602,"Changes (The Dresden Files, #12)",Jim Butcher,"urban-fantasy, fantasy, dresden-files, fiction, mystery"
1603,The Story of Ferdinand,"Munro Leaf, Robert Lawson","picture-books, childrens, children-s-books, children, children-s"
1604,"Impulse (Impulse, #1)",Ellen Hopkins,"young-adult, poetry, ya, fiction, ellen-hopkins"
1605,Ivanhoe,Walter Scott,"classics, fiction, historical-fiction, classic, adventure"
1606,"Ten Big Ones (Stephanie Plum, #10)",Janet Evanovich,"mystery, janet-evanovich, fiction, series, humor"
1607,"The Poet (Jack McEvoy, #1; Harry Bosch Universe, #5)",Michael Connelly,"mystery, crime, fiction, thriller, michael-connelly"
1608,"Paranormalcy (Paranormalcy, #1)",Kiersten White,"young-adult, paranormal, fantasy, ya, vampires"
1609,"Eclipse: The Complete Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #3)",Mark Cotta Vaz,
1610,The Shoemaker's Wife,Adriana Trigiani,"historical-fiction, fiction, book-club, romance, historical"
1611,"Rise of the Evening Star (Fablehaven, #2)",Brandon Mull,"young-adult, fantasy, fiction, fablehaven, series"
1612,"The Next Always (Inn BoonsBoro, #1)","Nora Roberts, MacLeod Andrews","romance, nora-roberts"
1613,What I Talk About When I Talk About Running,"Haruki Murakami, Philip Gabriel","non-fiction, memoir, running, nonfiction, biography"
1614,"We'll Always Have Summer (Summer, #3)",Jenny Han,"young-adult, romance, contemporary, ya, series"
1615,Open,"Andre Agassi, J.R. Moehringer","non-fiction, memoir, autobiography, biographies, biography"
1616,"Stormbreaker (Alex Rider, #1)",Anthony Horowitz,"young-adult, adventure, ya, mystery, fiction"
1617,"Without Fail (Jack Reacher, #6)","Lee Child, Dick Hill","thriller, lee-child, fiction, jack-reacher, mystery"
1618,"A Voice in the Wind (Mark of the Lion, #1)","Francine Rivers, Richard Ferrone","christian, fiction, romance, historical, francine-rivers"
1619,"The Twilight Saga Complete Collection  (Twilight, #1-4 + 3.5)",Stephenie Meyer,
1620,A Scanner Darkly,Philip K. Dick,"fiction, sci-fi, science-fiction, scifi, dystopia"
1621,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"non-fiction, business, psychology, nonfiction, leadership"
1622,A Connecticut Yankee in King Arthur's Court,Mark Twain,"classics, fantasy, classic, historical-fiction, humor"
1623,Batman: The Long Halloween,"Jeph Loeb, Tim Sale, Gregory Wright, Richard Starkings","comics, graphic-novels, graphic-novel, batman, cómics"
1624,Nausea,"Jean-Paul Sartre, Lloyd Alexander, Hayden Carruth","philosophy, fiction, classics, french, existentialism"
1625,Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,"christian, non-fiction, christianity, christian-living, religion"
1626,"Secrets of the Dragon Sanctuary (Fablehaven, #4)",Brandon Mull,"fantasy, young-adult, series, ya, magic"
1627,"Twelve Sharp (Stephanie Plum, #12)",Janet Evanovich,"mystery, janet-evanovich, fiction, humor, series"
1628,"Wool (Wool, #1)",Hugh Howey,"science-fiction, sci-fi, fiction, dystopian, dystopia"
1629,"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,"fantasy, fiction, young-adult, ya, sci-fi-fantasy"
1630,"Turn Coat (The Dresden Files, #11)",Jim Butcher,"fantasy, urban-fantasy, fiction, dresden-files, mystery"
1631,The Sign of Four,"Arthur Conan Doyle, Peter Ackroyd, Ed Glinert","classics, mystery, fiction, crime, sherlock-holmes"
1632,The Mitten,Jan Brett,"picture-books, childrens, children-s-books, children, children-s"
1633,"Memnoch the Devil (The Vampire Chronicles, #5)",Anne Rice,"horror, vampires, fantasy, fiction, anne-rice"
1634,"The Magician (The Secrets of the Immortal Nicholas Flamel, #2)",Michael Scott,"fantasy, young-adult, ya, fiction, magic"
1635,"Click, Clack, Moo: Cows That Type","Doreen Cronin, Betsy Lewin","picture-books, children-s-books, childrens, children, children-s"
